Source: ACS 1-Year Estimates-Public Use Microdata Sample 2015
Weight used: PWGTP
"Universe: selected geographies: Michigan"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
"Michigan","66336.39661426844"
" -> CMM-Operations Research Analysts",""
"Michigan","65643.09025084044"
" -> CMM-Other Mathematical Science Occupations",""
"Michigan","70565.63567362429"
"Michigan","59329.30505876341"
" -> ENG-Surveyors, Cartographers, And Photogrammetrists",""
"Michigan","51016.54770575382"
" -> ENG-Aerospace Engineers",""
"Michigan","71982.83288043478"
" -> ENG-Biomedical And Agricultural Engineers",""
"Michigan","57910.119047619046"
" -> ENG-Chemical Engineers",""
"Michigan","92234.30543933055"
" -> ENG-Civil Engineers",""
"Michigan","74952.71315856453"
" -> ENG-Computer Hardware Engineers",""
"Michigan","96824.89959839357"
" -> ENG-Electrical And Electronics Engineers",""
"Michigan","86325.66873028851"
" -> ENG-Environmental Engineers",""
"Michigan","38155.04664179104"
" -> ENG-Industrial Engineers, Including Health And Safety",""
"Michigan","71383.58684537793"
" -> ENG-Marine Engineers And Naval Architects",""
"Michigan","60900"
" -> ENG-Materials Engineers",""
"Michigan","73901.44171779141"
" -> ENG-Mechanical Engineers",""
"Michigan","88219.51996182276"
" -> ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers",""
"Michigan",""
" -> ENG-Other Engineers",""
"Michigan","78441.96883090513"
"Michigan","58470.057707076245"
"Michigan","46112.81756265291"
" -> ENG-Surveying And Mapping Technicians",""
"Michigan","43575.52287581699"
" -> SCI-Agricultural And Food Scientists",""
"Michigan","100472.36994219653"
" -> SCI-Biological Scientists",""
"Michigan","72255.43676939426"
" -> SCI-Conservation Scientists And Foresters",""
"Michigan","54779.26035502958"
" -> SCI-Other Life Scientists",""
"Michigan","79791.21718991251"
" -> SCI-Astronomers And Physicists",""
"Michigan","107278.90625"
" -> SCI-Atmospheric And Space Scientists",""
"Michigan","55242.985074626864"
" -> SCI-Chemists And Materials Scientists",""
"Michigan","73761.94293042642"
"Michigan","43438.99425287356"
" -> SCI-Physical Scientists, All Other",""
"Michigan","72246.88071716063"
" -> SCI-Economists",""
"Michigan","282000"
"Michigan","67947.03597122303"
" -> SCI-Urban And Regional Planners",""
"Michigan","66458.93023255814"
" -> SCI-Other Social Scientists",""
"Michigan","35761.39103554869"
" -> SCI-Agricultural And Food Science Technicians",""
"Michigan","49475.728155339806"
" -> SCI-Biological Technicians",""
"Michigan","25685.987261146496"
" -> SCI-Chemical Technicians",""
"Michigan","57681.81538980763"
"Michigan","31901.02564102564"
"Michigan","21527.362625139045"
"Michigan","39314.00543303099"
"Michigan","41326.25880235697"
" -> CMS-Probation Officers And Correctional Treatment Specialists",""
"Michigan","59526.10975183502"
" -> CMS-Social And Human Service Assistants",""
"Michigan","31478.670182708607"
" -> CMS-Other Community and Social Service Specialists",""
"Michigan","37624.3685190109"
" -> CMS-Clergy",""
"Michigan","44248.88512559977"
" -> CMS-Directors, Religious Activities And Education",""
"Michigan","37070.83683179401"
" -> CMS-Religious Workers, All Other",""
"Michigan","36620.48278591215"
" -> LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",""
"Michigan","118583.2095262597"
" -> LGL-Judicial Law Clerks",""
"Michigan","38333.18233295583"
" -> LGL-Paralegals And Legal Assistants",""
"Michigan","47357.867822092296"
"Michigan","32530.392156862745"
"Michigan","57313.81026029739"
" -> EDU-Preschool And Kindergarten Teachers",""
"Michigan","23904.81311436812"
" -> EDU-Elementary And Middle School Teachers",""
"Michigan","44163.236401428425"
" -> EDU-Secondary School Teachers",""
"Michigan","43272.48489503328"
" -> EDU-Special Education Teachers",""
"Michigan","48930.475323624596"
"Michigan","25917.15527340846"
" -> EDU-Archivists, Curators, And Museum Technicians",""
"Michigan","69041.89583333333"
"Michigan","35278.49902534113"
" -> EDU-Library Technicians",""
"Michigan","10739.082080200502"
"Michigan","17371.517496671106"
"Michigan","47889.32895069532"
" -> ENT-Artists And Related Workers",""
"Michigan","38958.07299634187"
"Michigan","49144.93097442183"
" -> ENT-Actors",""
"Michigan","7792.0347003154575"
" -> ENT-Producers And Directors",""
"Michigan","60133.28131252501"
"Michigan","16790.734415748295"
" -> ENT-Dancers And Choreographers",""
"Michigan","17956.639566395665"
"Michigan","23309.729882111737"
"Michigan","40371.12669881631"
"Michigan","47431.08285839544"
" -> ENT-News Analysts, Reporters, And Journalists",""
"Michigan","78538.30188679245"
" -> ENT-Public Relations Specialists",""
"Michigan","88877.55280783102"
" -> ENT-Editors",""
"Michigan","47383.648453310205"
" -> ENT-Technical Writers",""
"Michigan","41489.405303030304"
" -> ENT-Writers And Authors",""
"Michigan","38629.28006793268"
"Michigan","38027.45702952843"
"Michigan","37737.73031203566"
" -> ENT-Photographers",""
"Michigan","29726.613113330437"
" -> ENT-Television, Video, And Film Camera Operators And Editors",""
"Michigan","47740.278699402785"
" -> MED-Chiropractors",""
"Michigan","55539.56769055745"
" -> MED-Dentists",""
"Michigan","180827.68159578473"
" -> MED-Dietitians And Nutritionists",""
"Michigan","30426.01482527356"
" -> MED-Optometrists",""
"Michigan","139345.3353973168"
" -> MED-Pharmacists",""
"Michigan","90581.57705276588"
"Michigan","195221.88090018055"
" -> MED-Physician Assistants",""
"Michigan","88123.30880829015"
" -> MED-Podiatrists",""
"Michigan","84381.3063063063"
" -> MED-Audiologists",""
"Michigan","69091.98423127463"
" -> MED-Occupational Therapists",""
"Michigan","45860.2170080991"
" -> MED-Physical Therapists",""
"Michigan","63272.043425814234"
" -> MED-Radiation Therapists",""
"Michigan","63448.737672583826"
" -> MED-Recreational Therapists",""
"Michigan","28483.61204013378"
" -> MED-Respiratory Therapists",""
"Michigan","53750.49365303244"
" -> MED-Speech-Language Pathologists",""
"Michigan","54815.412001791316"
" -> MED-Other Therapists",""
"Michigan","40378.5988323603"
" -> MED-Veterinarians",""
"Michigan","110160.2564102564"
" -> MED-Registered Nurses",""
"Michigan","52665.64375619339"
" -> MED-Nurse Anesthetists",""
"Michigan","160296.23287671234"
" -> MED-Nurse Practitioners, And Nurse Midwives",""
"Michigan","87487.42078580482"
"Michigan","42000"
" -> MED-Clinical Laboratory Technologists And Technicians",""
"Michigan","36975.847962634885"
" -> MED-Dental Hygienists",""
"Michigan","36872.38482724086"
"Michigan","41258.735405268206"
"Michigan","39440.725028924026"
"Michigan","25259.75811827038"
" -> MED-Licensed Practical And Licensed Vocational Nurses",""
"Michigan","31323.712455863573"
"Michigan","29749.120799273387"
" -> MED-Opticians, Dispensing",""
"Michigan","41564.071914480075"
"Michigan","39857.63274336283"
"Michigan","72250.3260569218"
"Michigan","18524.396496397043"
" -> HLS-Occupational Therapy Assistants And Aides",""
"Michigan","36118.356545961"
" -> HLS-Physical Therapist Assistants And Aides",""
"Michigan","30327.840977368316"
" -> HLS-Massage Therapists",""
"Michigan","20967.385582010582"
" -> HLS-Dental Assistants",""
"Michigan","23523.571748276787"
" -> HLS-Medical Assistants",""
"Michigan","23151.889000371608"
" -> HLS-Medical Transcriptionists",""
"Michigan","20743.771228771227"
" -> HLS-Pharmacy Aides",""
"Michigan","25985.670356703566"
" -> HLS-Veterinary Assistants And Laboratory Animal Caretakers",""
"Michigan","14526.177419354839"
" -> HLS-Phlebotomists",""
"Michigan","23558.53317346123"
" -> HLS-Other Healthcare Support Workers",""
"Michigan","23301.613719512196"
" -> PRT-First-Line Supervisors Of Correctional Officers",""
"Michigan","56020.68965517241"
" -> PRT-First-Line Supervisors Of Police And Detectives",""
"Michigan","76291.38845553822"
" -> PRT-First-Line Supervisors Of Firefighting And Prevention Workers",""
"Michigan","79176.77339901478"
"Michigan","46642.31996353692"
" -> PRT-Firefighters",""
"Michigan","64535.64937491019"
" -> PRT-Fire Inspectors",""
"Michigan","27715.32051282051"
"Michigan","48865.764605933866"
" -> PRT-Detectives And Criminal Investigators",""
"Michigan","72821.09765051396"
" -> PRT-Fish And Game Wardens And Parking Enforcement Officers",""
"Michigan","50111.11111111111"
"Michigan","56642.30724774988"
" -> PRT-Animal Control Workers",""
"Michigan","28416.57458563536"
" -> PRT-Private Detectives And Investigators",""
"Michigan","93087.43604284815"
" -> PRT-Security Guards And Gambling Surveillance Officers",""
"Michigan","28063.471924042213"
" -> PRT-Crossing Guards And Flaggers",""
"Michigan","16701.58610709117"
" -> PRT-Transportation Security Screeners",""
"Michigan","29694.736842105263"
"Michigan","9250.223526473526"
" -> EAT-Chefs And Head Cooks",""
"Michigan","31842.085379675103"
" -> EAT-First-Line Supervisors Of Food Preparation And Serving Workers",""
"Michigan","27126.995924704057"
" -> EAT-Cooks",""
"Michigan","11833.209454250355"
" -> EAT-Food Preparation Workers",""
"Michigan","9874.578313253012"
" -> EAT-Bartenders",""
"Michigan","15766.43741329634"
"Michigan","10261.64101654322"
"Michigan","9279.751185981218"
" -> EAT-Waiters And Waitresses",""
"Michigan","11312.201803392254"
" -> EAT-Food Servers, Nonrestaurant",""
"Michigan","12084.719638242894"
" -> EAT-Dining Room And Cafeteria Attendants And Bartender Helpers",""
"Michigan","8589.515330904675"
" -> EAT-Dishwashers",""
"Michigan","8958.687591107871"
" -> EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",""
"Michigan","7880.151344743276"
" -> CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers",""
"Michigan","40483.737695425596"
" -> CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers",""
"Michigan","46462.15744570838"
" -> CLN-Janitors And Building Cleaners",""
"Michigan","20483.200971207563"
" -> CLN-Maids And Housekeeping Cleaners",""
"Michigan","15355.813093367204"
" -> CLN-Pest Control Workers",""
"Michigan","30208.911917098445"
"Michigan","17436.129753541692"
"Michigan","32080"
"Michigan","18687.748998664887"
" -> PRS-Animal Trainers",""
"Michigan","23399.762107051825"
" -> PRS-Animal Caretakers",""
"Michigan","13561.667741935484"
" -> PRS-Gambling Services Workers",""
"Michigan","30775.845604640785"
"Michigan","12379.039301310044"
" -> PRS-Ushers, Lobby Attendants, And Ticket Takers",""
"Michigan","17899.14479457519"
"Michigan","13322.228325770242"
"Michigan","30992.605331040413"
" -> PRS-Morticians, Undertakers, And Funeral Arrangers",""
"Michigan","42672.346208869814"
" -> PRS-Barbers",""
"Michigan","19078.826203208555"
" -> PRS-Hairdressers, Hairstylists, And Cosmetologists",""
"Michigan","20147.308668842947"
"Michigan","20851.507000330723"
" -> PRS-Baggage Porters, Bellhops, And Concierges",""
"Michigan","44534.89185750636"
" -> PRS-Tour And Travel Guides",""
"Michigan","11382.233606557376"
" -> PRS-Childcare Workers",""
"Michigan","11549.250601664031"
"Michigan","16951.581996092933"
"Michigan","18512.09554374704"
" -> PRS-Residential Advisors",""
"Michigan","8842.825768667642"
"Michigan","15554.843654378552"
" -> SAL-First-Line Supervisors Of Retail Sales Workers",""
"Michigan","40793.42042846213"
" -> SAL-First-Line Supervisors Of Non-Retail Sales Workers",""
"Michigan","79920.44293613492"
" -> SAL-Cashiers",""
"Michigan","12052.321404767688"
" -> SAL-Counter And Rental Clerks",""
"Michigan","12391.06698153714"
" -> SAL-Parts Salespersons",""
"Michigan","35461.85692108668"
" -> SAL-Retail Salespersons",""
"Michigan","24994.507276081164"
" -> SAL-Advertising Sales Agents",""
"Michigan","58299.22482667547"
" -> SAL-Insurance Sales Agents",""
"Michigan","59033.52630107888"
" -> SAL-Securities, Commodities, And Financial Services Sales Agents",""
"Michigan","72527.60059612518"
" -> SAL-Travel Agents",""
"Michigan","29122.606855691916"
" -> SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",""
"Michigan","80022.47019554558"
" -> SAL-Sales Representatives, Wholesale And Manufacturing",""
"Michigan","74046.71411376432"
" -> SAL-Models, Demonstrators, And Product Promoters",""
"Michigan","22763.98636081835"
" -> SAL-Real Estate Brokers And Sales Agents",""
"Michigan","61084.86211694196"
" -> SAL-Sales Engineers",""
"Michigan","112838.15058479532"
" -> SAL-Telemarketers",""
"Michigan","17070.40377247274"
" -> SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers",""
"Michigan","15381.01383057545"
" -> SAL-Sales And Related Workers, All Other",""
"Michigan","42217.48583659714"
" -> OFF-First-Line Supervisors Of Office And Administrative Support Workers",""
"Michigan","49117.61662648076"
" -> OFF-Switchboard Operators, Including Answering Service",""
"Michigan","23386.08933454877"
" -> OFF-Telephone Operators",""
"Michigan","19147.047451669594"
"Michigan","129000"
" -> OFF-Bill And Account Collectors",""
"Michigan","27922.932496075355"
" -> OFF-Billing And Posting Clerks",""
"Michigan","30345.144466982194"
" -> OFF-Bookkeeping, Accounting, And Auditing Clerks",""
"Michigan","30390.2496798011"
"Michigan","53997.76286353468"
" -> OFF-Payroll And Timekeeping Clerks",""
"Michigan","35321.835787774864"
" -> OFF-Procurement Clerks",""
"Michigan","102592.48120300751"
" -> OFF-Tellers",""
"Michigan","22076.006258992806"
" -> OFF-Other Financial Clerks",""
"Michigan","59030.699916177706"
"Michigan","50400"
" -> OFF-Court, Municipal, And License Clerks",""
"Michigan","29951.889818688982"
" -> OFF-Credit Authorizers, Checkers, And Clerks",""
"Michigan","31852.187234042554"
" -> OFF-Customer Service Representatives",""
"Michigan","28211.895617050333"
" -> OFF-Eligibility Interviewers, Government Programs",""
"Michigan","42732.19616204691"
" -> OFF-File Clerks",""
"Michigan","19653.689474326136"
" -> OFF-Hotel, Motel, And Resort Desk Clerks",""
"Michigan","13927.157657657657"
" -> OFF-Interviewers, Except Eligibility And Loan",""
"Michigan","27154.4767331434"
" -> OFF-Library Assistants, Clerical",""
"Michigan","15995.575888051668"
" -> OFF-Loan Interviewers And Clerks",""
"Michigan","32650.251889168765"
" -> OFF-New Accounts Clerks",""
"Michigan","38482.8125"
" -> OFF-Correspondence Clerks And Order Clerks",""
"Michigan","38208.40312093628"
" -> OFF-Human Resources Assistants, Except Payroll And Timekeeping",""
"Michigan","33751.34443021767"
" -> OFF-Receptionists And Information Clerks",""
"Michigan","20451.219302278536"
" -> OFF-Reservation And Transportation Ticket Agents And Travel Clerks",""
"Michigan","18046.5726718886"
" -> OFF-Other Information And Records Clerks",""
"Michigan","19004.35162094763"
" -> OFF-Cargo And Freight Agents",""
"Michigan","36970.77290836653"
" -> OFF-Couriers And Messengers",""
"Michigan","32396.472713680538"
"Michigan","32678.68986007284"
" -> OFF-Meter Readers, Utilities",""
"Michigan","29259.11524163569"
" -> OFF-Postal Service Clerks",""
"Michigan","44216.71400394478"
" -> OFF-Postal Service Mail Carriers",""
"Michigan","44778.46937338653"
" -> OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators",""
"Michigan","52779.860105580694"
" -> OFF-Production, Planning, And Expediting Clerks",""
"Michigan","41374.93988941548"
" -> OFF-Shipping, Receiving, And Inventory Clerks",""
"Michigan","26566.94804105595"
"Michigan","18284.18751645046"
" -> OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping",""
"Michigan","46332.80048563335"
"Michigan","28691.64271682932"
"Michigan","38532.348461772766"
" -> OFF-Data Entry Keyers",""
"Michigan","26292.583293028398"
" -> OFF-Word Processors And Typists",""
"Michigan","25811.4942962659"
" -> OFF-Insurance Claims And Policy Processing Clerks",""
"Michigan","37714.32049464398"
" -> OFF-Mail Clerks And Mail Machine Operators, Except Postal Service",""
"Michigan","26409.402127659574"
" -> OFF-Office Clerks, General",""
"Michigan","27018.281872897856"
" -> OFF-Office Machine Operators, Except Computer",""
"Michigan","17196.86028257457"
" -> OFF-Proofreaders And Copy Markers",""
"Michigan","28958.068376068375"
" -> OFF-Statistical Assistants",""
"Michigan","46274.67405063291"
" -> OFF-Other Office And Administrative Support Workers",""
"Michigan","37038.15005924809"
" -> FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers",""
"Michigan","56062.32370718603"
" -> FFF-Agricultural Inspectors",""
"Michigan","14938.825541619157"
" -> FFF-Graders And Sorters, Agricultural Products",""
"Michigan","10740.496205487449"
" -> FFF-Other Agricultural Workers",""
"Michigan","20040.07420539048"
"Michigan","21497.354497354496"
" -> FFF-Forest And Conservation Workers",""
"Michigan","29016.059701492537"
" -> FFF-Logging Workers",""
"Michigan","38667.69158586174"
" -> CON-First-Line Supervisors Of Construction Trades And Extraction Workers",""
"Michigan","58468.61257175937"
" -> CON-Boilermakers",""
"Michigan","55398.12239221141"
" -> CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers",""
"Michigan","30261.75685478021"
" -> CON-Carpenters",""
"Michigan","29696.73101572662"
" -> CON-Carpet, Floor, And Tile Installers And Finishers",""
"Michigan","29401.483998867177"
" -> CON-Cement Masons, Concrete Finishers, And Terrazzo Workers",""
"Michigan","23453.686200378073"
" -> CON-Construction Laborers",""
"Michigan","28968.909273029778"
"Michigan","55328.71972318339"
"Michigan","41775.730715981015"
" -> CON-Drywall Installers, Ceiling Tile Installers, And Tapers",""
"Michigan","31136.555429864253"
" -> CON-Electricians",""
"Michigan","55788.47507496913"
" -> CON-Glaziers",""
"Michigan","30203.518267929634"
" -> CON-Insulation Workers",""
"Michigan","37454.79878048781"
"Michigan","24517.36455469217"
"Michigan","47069.73545154311"
" -> CON-Plasterers And Stucco Masons",""
"Michigan","31575"
" -> CON-Roofers",""
"Michigan","25710.81421502474"
" -> CON-Sheet Metal Workers",""
"Michigan","34957.74517374517"
" -> CON-Structural Iron And Steel Workers",""
"Michigan","60090.88794669897"
" -> CON-Helpers, Construction Trades",""
"Michigan","25664.01080351114"
" -> CON-Construction And Building Inspectors",""
"Michigan","51216.606762828094"
" -> CON-Elevator And Escalator Installers And Repairers",""
"Michigan","116937.5"
" -> CON-Fence Erectors",""
"Michigan","30889.982110912344"
" -> CON-Hazardous Materials Removal Workers",""
"Michigan","27807.2202166065"
" -> CON-Highway Maintenance Workers",""
"Michigan","29891.565134099616"
" -> CON-Rail-Track Laying And Maintenance Equipment Operators",""
"Michigan","52793.333333333336"
" -> CON-Other Construction And Related Workers",""
"Michigan","36043.59242072699"
" -> EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining",""
"Michigan","42205.21109770808"
"Michigan","61096.08540925267"
"Michigan","28272.477064220184"
"Michigan","73622.32172470978"
"Michigan","57337.39837398374"
" -> RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers",""
"Michigan","59534.474022633745"
" -> RPR-Computer, Automated Teller, And Office Machine Repairers",""
"Michigan","42263.2770278794"
" -> RPR-Radio And Telecommunications Equipment Installers And Repairers",""
"Michigan","40856.75400565504"
" -> RPR-Avionics Technicians",""
"Michigan","61388.88888888889"
" -> RPR-Electric Motor, Power Tool, And Related Repairers",""
"Michigan","71785.62211981567"
" -> RPR-Other Electrical And Electronic Equipment Mechanics, Installers, And Repairers",""
"Michigan","65962.81859070464"
"Michigan","73404.12181303116"
" -> RPR-Audiovisual Equipment Installers And Repairers",""
"Michigan","25595.43502202643"
" -> RPR-Security And Fire Alarm Systems Installers",""
"Michigan","30997.14599341383"
" -> RPR-Aircraft Mechanics And Service Technicians",""
"Michigan","48364.78937861272"
" -> RPR-Automotive Body And Related Repairers",""
"Michigan","44771.39402427638"
" -> RPR-Automotive Glass Installers And Repairers",""
"Michigan","47895.264516129035"
" -> RPR-Automotive Service Technicians And Mechanics",""
"Michigan","36908.4599007668"
" -> RPR-Bus And Truck Mechanics And Diesel Engine Specialists",""
"Michigan","42404.00044769437"
" -> RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics",""
"Michigan","44837.010230179025"
" -> RPR-Small Engine Mechanics",""
"Michigan","21608.517324738114"
" -> RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers",""
"Michigan","22284.20887071406"
" -> RPR-Control And Valve Installers And Repairers",""
"Michigan","82736.05932203389"
" -> RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers",""
"Michigan","39205.91822158736"
" -> RPR-Home Appliance Repairers",""
"Michigan","31320.771704180064"
" -> RPR-Industrial And Refractory Machinery Mechanics",""
"Michigan","53647.97540151651"
" -> RPR-Maintenance And Repair Workers, General",""
"Michigan","38860.4260840687"
" -> RPR-Maintenance Workers, Machinery",""
"Michigan","50909.680403700586"
" -> RPR-Millwrights",""
"Michigan","70157.74732334047"
" -> RPR-Electrical Power-Line Installers And Repairers",""
"Michigan","79601.20336203362"
" -> RPR-Telecommunications Line Installers And Repairers",""
"Michigan","37180.354767184035"
" -> RPR-Precision Instrument And Equipment Repairers",""
"Michigan","44314.18795022921"
" -> RPR-Coin, Vending, And Amusement Machine Servicers And Repairers",""
"Michigan","31830.174749807546"
" -> RPR-Locksmiths And Safe Repairers",""
"Michigan","57385.35211267605"
" -> RPR-Riggers",""
"Michigan","81000"
" -> RPR-Helpers--Installation, Maintenance, And Repair Workers",""
"Michigan","15282.208588957055"
"Michigan","36163.08254655695"
" -> PRD-First-Line Supervisors Of Production And Operating Workers",""
"Michigan","56801.76046622806"
"Michigan","90150"
" -> PRD-Electrical, Electronics, And Electromechanical Assemblers",""
"Michigan","23714.985754985755"
" -> PRD-Engine And Other Machine Assemblers",""
"Michigan","39983.49309504468"
" -> PRD-Structural Metal Fabricators And Fitters",""
"Michigan","36492.045454545456"
" -> PRD-Other Assemblers And Fabricators",""
"Michigan","31648.89153924751"
" -> PRD-Bakers",""
"Michigan","14807.160479460026"
" -> PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers",""
"Michigan","18933.190459730384"
" -> PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders",""
"Michigan","33210.38961038961"
" -> PRD-Food Batchmakers",""
"Michigan","17545.64655904843"
" -> PRD-Food Cooking Machine Operators And Tenders",""
"Michigan",""
" -> PRD-Food Processing Workers, All Other",""
"Michigan","27919.166413142684"
"Michigan","39846.06457925636"
"Michigan","24095.539568345324"
"Michigan","40046.83840749414"
"Michigan","31571.64461247637"
" -> PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",""
"Michigan","27940.19991002643"
" -> PRD-Machinists",""
"Michigan","43707.11686561417"
" -> PRD-Metal Furnace Operators, Tenders, Pourers, And Casters",""
"Michigan","39480.04104669061"
" -> PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic",""
"Michigan","36668.627215379995"
" -> PRD-Tool And Die Makers",""
"Michigan","57244.565446780005"
" -> PRD-Welding, Soldering, And Brazing Workers",""
"Michigan","39147.28881072763"
"Michigan","31342.332050533467"
" -> PRD-Prepress Technicians And Workers",""
"Michigan","33512.81129653402"
" -> PRD-Printing Press Operators",""
"Michigan","33062.24198455418"
" -> PRD-Print Binding And Finishing Workers",""
"Michigan","26419.491525423728"
" -> PRD-Laundry And Dry-Cleaning Workers",""
"Michigan","17674.888256806178"
" -> PRD-Pressers, Textile, Garment, And Related Materials",""
"Michigan","16112.872975277067"
" -> PRD-Sewing Machine Operators",""
"Michigan","20951.420560747665"
"Michigan","30349.829584185412"
" -> PRD-Tailors, Dressmakers, And Sewers",""
"Michigan","16648.014925373136"
"Michigan","17371.052631578947"
"Michigan","67000"
