"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
"Michigan","67971.64127637674"
"Michigan","74681.86046511628"
" -> SCI-Physical Scientists, All Other",""
"Michigan","64584.065510597306"
" -> SCI-Economists",""
"Michigan","99906.06060606061"
"Michigan","68846.07349746561"
" -> SCI-Urban And Regional Planners",""
"Michigan","62241.69054441261"
" -> SCI-Other Social Scientists",""
"Michigan","30854.09756097561"
" -> SCI-Agricultural And Food Science Technicians",""
"Michigan","26379.959308240082"
" -> SCI-Biological Technicians",""
"Michigan","23946.40605296343"
" -> SCI-Chemical Technicians",""
"Michigan","45483.821294077374"
"Michigan","54840.867678958784"
"Michigan","24110.39822306838"
"Michigan","39943.645582586425"
"Michigan","37853.618180605576"
" -> CMS-Probation Officers And Correctional Treatment Specialists",""
"Michigan","47225.468105363376"
" -> CMS-Social And Human Service Assistants",""
"Michigan","27672.730500951173"
" -> CMS-Other Community and Social Service Specialists",""
"Michigan","35583.333056478405"
" -> CMS-Clergy",""
"Michigan","49133.84703433923"
" -> CMS-Directors, Religious Activities And Education",""
"Michigan","30795.967912180706"
" -> CMS-Religious Workers, All Other",""
"Michigan","18275.619897474844"
" -> LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",""
"Michigan","116577.97418826942"
" -> LGL-Judicial Law Clerks",""
"Michigan","39364.386227544914"
" -> LGL-Paralegals And Legal Assistants",""
"Michigan","45613.3070494186"
"Michigan","38444.51637107776"
"Michigan","54868.08903215903"
" -> EDU-Preschool And Kindergarten Teachers",""
"Michigan","23965.582725972345"
" -> EDU-Elementary And Middle School Teachers",""
"Michigan","47866.80331136106"
" -> EDU-Secondary School Teachers",""
"Michigan","50418.158116708844"
" -> EDU-Special Education Teachers",""
"Michigan","47023.49986249885"
"Michigan","26958.263915705855"
" -> EDU-Archivists, Curators, And Museum Technicians",""
"Michigan","25958.52731591449"
"Michigan","41419.02736759205"
" -> EDU-Library Technicians",""
"Michigan","11862.880503144654"
"Michigan","14547.95884650045"
"Michigan","53814.38937262782"
" -> ENT-Artists And Related Workers",""
"Michigan","23646.357153535657"
"Michigan","36802.725214063925"
" -> ENT-Actors",""
"Michigan","69783.47457627118"
" -> ENT-Producers And Directors",""
"Michigan","50818.11065782764"
"Michigan","19981.447048735172"
" -> ENT-Dancers And Choreographers",""
"Michigan","35766.80672268908"
"Michigan","28523.035134653113"
"Michigan","12435.28806584362"
"Michigan","28840.918544194108"
" -> ENT-News Analysts, Reporters, And Journalists",""
"Michigan","37632.30259525124"
" -> ENT-Public Relations Specialists",""
"Michigan","60148.88252148997"
" -> ENT-Editors",""
"Michigan","41399.428709755506"
" -> ENT-Technical Writers",""
"Michigan","60334.07407407407"
" -> ENT-Writers And Authors",""
"Michigan","45136.99813134009"
"Michigan","21745.09892086331"
"Michigan","42271.18279569892"
" -> ENT-Photographers",""
"Michigan","15661.572857142857"
" -> ENT-Television, Video, And Film Camera Operators And Editors",""
"Michigan","20124.98753117207"
" -> MED-Chiropractors",""
"Michigan","59162.65508684864"
" -> MED-Dentists",""
"Michigan","175583.2480155516"
" -> MED-Dietitians And Nutritionists",""
"Michigan","32016.55569007264"
" -> MED-Optometrists",""
"Michigan","117127.77777777778"
" -> MED-Pharmacists",""
"Michigan","94060.24811342328"
"Michigan","177266.35901462362"
" -> MED-Physician Assistants",""
"Michigan","54933.94781760546"
" -> MED-Podiatrists",""
"Michigan","101901.16279069768"
" -> MED-Audiologists",""
"Michigan","28822.050290135398"
" -> MED-Occupational Therapists",""
"Michigan","58801.530069185734"
" -> MED-Physical Therapists",""
"Michigan","68969.27020099825"
" -> MED-Radiation Therapists",""
"Michigan","61716.472303206996"
" -> MED-Recreational Therapists",""
"Michigan","29224.125874125875"
" -> MED-Respiratory Therapists",""
"Michigan","37445.11257360582"
" -> MED-Speech-Language Pathologists",""
"Michigan","60520.995337270746"
" -> MED-Other Therapists",""
"Michigan","31962.712004976154"
" -> MED-Veterinarians",""
"Michigan","86908.7074829932"
" -> MED-Registered Nurses",""
"Michigan","52531.2749555551"
" -> MED-Nurse Anesthetists",""
"Michigan","220012.05186880243"
" -> MED-Nurse Practitioners, And Nurse Midwives",""
"Michigan","78561.04850563449"
"Michigan","37501.55440414508"
" -> MED-Clinical Laboratory Technologists And Technicians",""
"Michigan","40793.23254853366"
" -> MED-Dental Hygienists",""
"Michigan","32842.02405736757"
"Michigan","41315.7907677665"
"Michigan","38061.40077821012"
"Michigan","24379.444387755102"
" -> MED-Licensed Practical And Licensed Vocational Nurses",""
"Michigan","28867.77104315727"
"Michigan","30713.955204216072"
" -> MED-Opticians, Dispensing",""
"Michigan","23902.49625187406"
"Michigan","38289.03010847908"
"Michigan","50964.75089677162"
"Michigan","17931.43245784978"
" -> HLS-Occupational Therapy Assistants And Aides",""
"Michigan","54553.08823529412"
" -> HLS-Physical Therapist Assistants And Aides",""
"Michigan","25861.869876382563"
" -> HLS-Massage Therapists",""
"Michigan","20750.641486810553"
" -> HLS-Dental Assistants",""
"Michigan","19058.121488764045"
" -> HLS-Medical Assistants",""
"Michigan","21163.863461749534"
" -> HLS-Medical Transcriptionists",""
"Michigan","26873.85385841111"
" -> HLS-Pharmacy Aides",""
"Michigan","30362.14912280702"
" -> HLS-Veterinary Assistants And Laboratory Animal Caretakers",""
"Michigan","16629.31778425656"
" -> HLS-Phlebotomists",""
"Michigan","25768.57818504286"
" -> HLS-Other Healthcare Support Workers",""
"Michigan","24075.670413078384"
" -> PRT-First-Line Supervisors Of Correctional Officers",""
"Michigan","66247.11093990755"
" -> PRT-First-Line Supervisors Of Police And Detectives",""
"Michigan","64240.038844379706"
" -> PRT-First-Line Supervisors Of Firefighting And Prevention Workers",""
"Michigan","70199.78858350951"
"Michigan","41628.94990366088"
" -> PRT-Firefighters",""
"Michigan","53823.10826888757"
" -> PRT-Fire Inspectors",""
"Michigan","58034.09090909091"
"Michigan","51199.61844083327"
" -> PRT-Detectives And Criminal Investigators",""
"Michigan","70164.33751270756"
" -> PRT-Fish And Game Wardens And Parking Enforcement Officers",""
"Michigan","5728.033472803348"
"Michigan","52968.15439587101"
" -> PRT-Animal Control Workers",""
"Michigan","16100"
" -> PRT-Private Detectives And Investigators",""
"Michigan","63397.467157120336"
" -> PRT-Security Guards And Gambling Surveillance Officers",""
"Michigan","30813.184976118107"
" -> PRT-Crossing Guards And Flaggers",""
"Michigan","11206.879261933414"
" -> PRT-Transportation Security Screeners",""
"Michigan","31033.4008097166"
"Michigan","5887.033546928006"
" -> EAT-Chefs And Head Cooks",""
"Michigan","21328.915607149436"
" -> EAT-First-Line Supervisors Of Food Preparation And Serving Workers",""
"Michigan","24832.918792934248"
" -> EAT-Cooks",""
"Michigan","11202.867979493076"
" -> EAT-Food Preparation Workers",""
"Michigan","10258.402397394137"
" -> EAT-Bartenders",""
"Michigan","12448.713654871824"
"Michigan","8629.184839650146"
"Michigan","7158.868208379958"
" -> EAT-Waiters And Waitresses",""
"Michigan","9828.488475477168"
" -> EAT-Food Servers, Nonrestaurant",""
"Michigan","15932.253380070106"
" -> EAT-Dining Room And Cafeteria Attendants And Bartender Helpers",""
"Michigan","7580.674082471305"
" -> EAT-Dishwashers",""
"Michigan","6907.393382815449"
" -> EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",""
"Michigan","9371.941588006663"
" -> CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers",""
"Michigan","30715.884086444006"
" -> CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers",""
"Michigan","40444.258663808505"
" -> CLN-Janitors And Building Cleaners",""
"Michigan","18372.50534208529"
" -> CLN-Maids And Housekeeping Cleaners",""
"Michigan","12447.889348296909"
" -> CLN-Pest Control Workers",""
"Michigan","22927.674535409344"
"Michigan","14894.86387218691"
"Michigan","40714.956681543714"
"Michigan","30024.862249918006"
" -> PRS-Animal Trainers",""
"Michigan","23982.49125262421"
" -> PRS-Animal Caretakers",""
"Michigan","12622.63532475047"
" -> PRS-Gambling Services Workers",""
"Michigan","30143.429330970313"
"Michigan","26243.669724770643"
" -> PRS-Ushers, Lobby Attendants, And Ticket Takers",""
"Michigan","11188.498098859316"
"Michigan","11410.396084167885"
"Michigan","22732.034632034633"
" -> PRS-Morticians, Undertakers, And Funeral Arrangers",""
"Michigan","56898.21182943604"
" -> PRS-Barbers",""
"Michigan","17073.44826517968"
" -> PRS-Hairdressers, Hairstylists, And Cosmetologists",""
"Michigan","17891.97460865278"
"Michigan","13715.097760958688"
" -> PRS-Baggage Porters, Bellhops, And Concierges",""
"Michigan","18304.114621601762"
" -> PRS-Tour And Travel Guides",""
"Michigan","12515.103975535169"
" -> PRS-Childcare Workers",""
"Michigan","10577.994668567797"
"Michigan","14497.487722893298"
"Michigan","14919.606321354255"
" -> PRS-Residential Advisors",""
"Michigan","16874.703166226915"
"Michigan","9375.53293751767"
" -> SAL-First-Line Supervisors Of Retail Sales Workers",""
"Michigan","37256.675549247346"
" -> SAL-First-Line Supervisors Of Non-Retail Sales Workers",""
"Michigan","59008.9473117121"
" -> SAL-Cashiers",""
"Michigan","11942.051636550705"
" -> SAL-Counter And Rental Clerks",""
"Michigan","11301.17798665858"
" -> SAL-Parts Salespersons",""
"Michigan","29947.171187599728"
" -> SAL-Retail Salespersons",""
"Michigan","21400.488540835937"
" -> SAL-Advertising Sales Agents",""
"Michigan","50051.521200440526"
" -> SAL-Insurance Sales Agents",""
"Michigan","54835.77653986949"
" -> SAL-Securities, Commodities, And Financial Services Sales Agents",""
"Michigan","63476.478028876336"
" -> SAL-Travel Agents",""
"Michigan","32109.06453952139"
" -> SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",""
"Michigan","60654.349001434406"
" -> SAL-Sales Representatives, Wholesale And Manufacturing",""
"Michigan","58123.51168977607"
" -> SAL-Models, Demonstrators, And Product Promoters",""
"Michigan","27770.213943194394"
" -> SAL-Real Estate Brokers And Sales Agents",""
"Michigan","46959.58876458176"
" -> SAL-Sales Engineers",""
"Michigan","80765.88235294117"
" -> SAL-Telemarketers",""
"Michigan","15699.172104926423"
" -> SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers",""
"Michigan","13233.27973877821"
" -> SAL-Sales And Related Workers, All Other",""
"Michigan","50426.07323232323"
" -> OFF-First-Line Supervisors Of Office And Administrative Support Workers",""
"Michigan","42879.62992961338"
" -> OFF-Switchboard Operators, Including Answering Service",""
"Michigan","17775.02192982456"
" -> OFF-Telephone Operators",""
"Michigan","24122.931206380857"
"Michigan","41933.00970873787"
" -> OFF-Bill And Account Collectors",""
"Michigan","31115.28851201292"
" -> OFF-Billing And Posting Clerks",""
"Michigan","27781.334728867623"
" -> OFF-Bookkeeping, Accounting, And Auditing Clerks",""
"Michigan","29490.180986605683"
"Michigan","30269.540229885057"
" -> OFF-Payroll And Timekeeping Clerks",""
"Michigan","29933.403999398586"
" -> OFF-Procurement Clerks",""
"Michigan","38746.09929078014"
" -> OFF-Tellers",""
"Michigan","16195.981743227327"
" -> OFF-Other Financial Clerks",""
"Michigan","67745.83750428523"
"Michigan","10655.681818181818"
" -> OFF-Court, Municipal, And License Clerks",""
"Michigan","27561.7089678511"
" -> OFF-Credit Authorizers, Checkers, And Clerks",""
"Michigan","35433.17880794702"
" -> OFF-Customer Service Representatives",""
"Michigan","22924.39171610716"
" -> OFF-Eligibility Interviewers, Government Programs",""
"Michigan","44634.25298013245"
" -> OFF-File Clerks",""
"Michigan","20685.304474955505"
" -> OFF-Hotel, Motel, And Resort Desk Clerks",""
"Michigan","13711.903878270552"
" -> OFF-Interviewers, Except Eligibility And Loan",""
"Michigan","22913.538342102995"
" -> OFF-Library Assistants, Clerical",""
"Michigan","14314.924233432246"
" -> OFF-Loan Interviewers And Clerks",""
"Michigan","34528.403515944396"
" -> OFF-New Accounts Clerks",""
"Michigan","48473.15789473684"
" -> OFF-Correspondence Clerks And Order Clerks",""
"Michigan","23275.27927927928"
" -> OFF-Human Resources Assistants, Except Payroll And Timekeeping",""
"Michigan","31146.13259668508"
" -> OFF-Receptionists And Information Clerks",""
"Michigan","17277.637053711653"
" -> OFF-Reservation And Transportation Ticket Agents And Travel Clerks",""
"Michigan","38150.1974789916"
" -> OFF-Other Information And Records Clerks",""
"Michigan","24713.58617653533"
" -> OFF-Cargo And Freight Agents",""
"Michigan","20789.373297002723"
" -> OFF-Couriers And Messengers",""
"Michigan","34633.62942122186"
"Michigan","32690.40225650472"
" -> OFF-Meter Readers, Utilities",""
"Michigan","33517.205882352944"
" -> OFF-Postal Service Clerks",""
"Michigan","45167.59331021823"
" -> OFF-Postal Service Mail Carriers",""
"Michigan","44594.316675935486"
" -> OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators",""
"Michigan","46702.3032603841"
" -> OFF-Production, Planning, And Expediting Clerks",""
"Michigan","34516.99926189358"
" -> OFF-Shipping, Receiving, And Inventory Clerks",""
"Michigan","22813.490618762477"
"Michigan","17594.793712703304"
" -> OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping",""
"Michigan","28623.515850144093"
"Michigan","26509.125738839375"
"Michigan","39371.79790026247"
" -> OFF-Data Entry Keyers",""
"Michigan","23964.463852647736"
" -> OFF-Word Processors And Typists",""
"Michigan","25387.00093645485"
" -> OFF-Insurance Claims And Policy Processing Clerks",""
"Michigan","32281.953021306323"
" -> OFF-Mail Clerks And Mail Machine Operators, Except Postal Service",""
"Michigan","24761.17105263158"
" -> OFF-Office Clerks, General",""
"Michigan","24651.720507189326"
" -> OFF-Office Machine Operators, Except Computer",""
"Michigan","25566.18181818182"
" -> OFF-Proofreaders And Copy Markers",""
"Michigan","19140.983606557376"
" -> OFF-Statistical Assistants",""
"Michigan","23739.156626506025"
" -> OFF-Other Office And Administrative Support Workers",""
"Michigan","35226.781419989595"
" -> FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers",""
"Michigan","38906.52210526316"
" -> FFF-Agricultural Inspectors",""
"Michigan","37365.578635014834"
" -> FFF-Graders And Sorters, Agricultural Products",""
"Michigan","10883.577981651377"
" -> FFF-Other Agricultural Workers",""
"Michigan","13637.95884986226"
"Michigan","56185.770750988144"
" -> FFF-Forest And Conservation Workers",""
"Michigan","21926.287744227353"
" -> FFF-Logging Workers",""
"Michigan","25131.738148984197"
" -> CON-First-Line Supervisors Of Construction Trades And Extraction Workers",""
"Michigan","47268.617693409746"
" -> CON-Boilermakers",""
"Michigan","43417.81094527363"
" -> CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers",""
"Michigan","25443.585401939832"
" -> CON-Carpenters",""
"Michigan","22903.049543072986"
" -> CON-Carpet, Floor, And Tile Installers And Finishers",""
"Michigan","21434.834668044434"
" -> CON-Cement Masons, Concrete Finishers, And Terrazzo Workers",""
"Michigan","31471.707872273157"
" -> CON-Construction Laborers",""
"Michigan","20323.51606841176"
"Michigan","32629.4"
"Michigan","41980.27176971939"
" -> CON-Drywall Installers, Ceiling Tile Installers, And Tapers",""
"Michigan","14663.123101661604"
" -> CON-Electricians",""
"Michigan","41835.22523251112"
" -> CON-Glaziers",""
"Michigan","31615.87786259542"
" -> CON-Insulation Workers",""
"Michigan","29295.818505338077"
"Michigan","17611.89939037034"
"Michigan","5104.3165467625895"
"Michigan","40588.66887016433"
" -> CON-Plasterers And Stucco Masons",""
"Michigan","17710.091743119265"
"Michigan","16563.2183908046"
" -> CON-Roofers",""
"Michigan","17476.34112963424"
" -> CON-Sheet Metal Workers",""
"Michigan","29314.19077404222"
" -> CON-Structural Iron And Steel Workers",""
"Michigan","28306.852315394244"
" -> CON-Helpers, Construction Trades",""
"Michigan","37270.880201765445"
" -> CON-Construction And Building Inspectors",""
"Michigan","31767.51385041551"
" -> CON-Elevator And Escalator Installers And Repairers",""
"Michigan","105943.97759103641"
" -> CON-Fence Erectors",""
"Michigan","22454.67027027027"
" -> CON-Hazardous Materials Removal Workers",""
"Michigan","11752.324037184595"
" -> CON-Highway Maintenance Workers",""
"Michigan","41888.10602957907"
" -> CON-Rail-Track Laying And Maintenance Equipment Operators",""
"Michigan","34757.709251101325"
" -> CON-Other Construction And Related Workers",""
"Michigan","16359.948320413436"
" -> EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining",""
"Michigan","22444.117647058825"
"Michigan","34339.46902654867"
"Michigan","32300"
"Michigan","37932.77202072539"
"Michigan","39538.940092165896"
" -> RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers",""
"Michigan","55123.69141696292"
" -> RPR-Computer, Automated Teller, And Office Machine Repairers",""
"Michigan","31314.866279069767"
" -> RPR-Radio And Telecommunications Equipment Installers And Repairers",""
"Michigan","41563.543396226414"
" -> RPR-Avionics Technicians",""
"Michigan","24366.666666666668"
" -> RPR-Electric Motor, Power Tool, And Related Repairers",""
"Michigan","41864.97670807454"
" -> RPR-Other Electrical And Electronic Equipment Mechanics, Installers, And Repairers",""
"Michigan","42628.7922705314"
"Michigan","49777.91307605845"
" -> RPR-Audiovisual Equipment Installers And Repairers",""
"Michigan","16484.254986312084"
" -> RPR-Security And Fire Alarm Systems Installers",""
"Michigan","37847.76"
" -> RPR-Aircraft Mechanics And Service Technicians",""
"Michigan","38136.69222343921"
" -> RPR-Automotive Body And Related Repairers",""
"Michigan","32183.336890243903"
" -> RPR-Automotive Glass Installers And Repairers",""
"Michigan","23275.03735325507"
" -> RPR-Automotive Service Technicians And Mechanics",""
"Michigan","34690.540208339735"
" -> RPR-Bus And Truck Mechanics And Diesel Engine Specialists",""
"Michigan","41124.41318393719"
" -> RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics",""
"Michigan","39298.5423966363"
" -> RPR-Small Engine Mechanics",""
"Michigan","24161.041819515773"
" -> RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers",""
"Michigan","23944.950720242607"
" -> RPR-Control And Valve Installers And Repairers",""
"Michigan","61405.79710144927"
" -> RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers",""
"Michigan","39174.03831665052"
" -> RPR-Home Appliance Repairers",""
"Michigan","33084.56439393939"
" -> RPR-Industrial And Refractory Machinery Mechanics",""
"Michigan","40693.698103769726"
" -> RPR-Maintenance And Repair Workers, General",""
"Michigan","32662.30167055167"
" -> RPR-Maintenance Workers, Machinery",""
"Michigan","31536.925515055467"
" -> RPR-Millwrights",""
"Michigan","44922.0333863275"
" -> RPR-Electrical Power-Line Installers And Repairers",""
"Michigan","59094.99249474632"
" -> RPR-Telecommunications Line Installers And Repairers",""
"Michigan","45137.85408691736"
" -> RPR-Precision Instrument And Equipment Repairers",""
"Michigan","49113.184841453985"
" -> RPR-Coin, Vending, And Amusement Machine Servicers And Repairers",""
"Michigan","30976.68152866242"
" -> RPR-Locksmiths And Safe Repairers",""
"Michigan","35500.380952380954"
"Michigan","6200"
" -> RPR-Riggers",""
"Michigan","35684.41558441558"
" -> RPR-Helpers--Installation, Maintenance, And Repair Workers",""
"Michigan","14133.35436382755"
"Michigan","32316.75519360187"
" -> PRD-First-Line Supervisors Of Production And Operating Workers",""
"Michigan","49895.757179630666"
"Michigan","43600"
" -> PRD-Electrical, Electronics, And Electromechanical Assemblers",""
"Michigan","21932.161086396627"
" -> PRD-Engine And Other Machine Assemblers",""
"Michigan","38501.71356993737"
" -> PRD-Structural Metal Fabricators And Fitters",""
"Michigan","30080.809327846364"
" -> PRD-Other Assemblers And Fabricators",""
"Michigan","27224.684806569723"
" -> PRD-Bakers",""
"Michigan","15191.954310980103"
" -> PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers",""
"Michigan","21072.241171403963"
" -> PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders",""
"Michigan","19092.61744966443"
" -> PRD-Food Batchmakers",""
"Michigan","24327.962962962964"
" -> PRD-Food Cooking Machine Operators And Tenders",""
"Michigan","31729.888268156425"
" -> PRD-Food Processing Workers, All Other",""
"Michigan","21393.803297328028"
"Michigan","35264.71835950016"
"Michigan","16046.969696969696"
"Michigan","34679.99250374812"
"Michigan","26194.871794871793"
" -> PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",""
"Michigan","22285.31173594132"
"Michigan","21306.776315789473"
" -> PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal And Plastic",""
"Michigan","28803.100049941735"
"Michigan","31320.442804428043"
" -> PRD-Machinists",""
"Michigan","40641.7565048902"
" -> PRD-Metal Furnace Operators, Tenders, Pourers, And Casters",""
"Michigan","20963.731931668855"
"Michigan","48889.53992282577"
" -> PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic",""
"Michigan","32629.91226561156"
" -> PRD-Tool And Die Makers",""
"Michigan","42963.17930419269"
" -> PRD-Welding, Soldering, And Brazing Workers",""
"Michigan","28648.712058943314"
"Michigan","22900.333333333332"
"Michigan","24177.053140096617"
"Michigan","32024.802110817942"
"Michigan","24949.20132013201"
" -> PRD-Prepress Technicians And Workers",""
"Michigan","12724.853228962818"
" -> PRD-Printing Press Operators",""
"Michigan","31874.94356659142"
" -> PRD-Print Binding And Finishing Workers",""
"Michigan","16897.94293297943"
" -> PRD-Laundry And Dry-Cleaning Workers",""
"Michigan","14501.087234950905"
" -> PRD-Pressers, Textile, Garment, And Related Materials",""
