Source: ACS 1-Year Estimates - Public Use Microdata Sample 2005
Weight used: PWGTP
"Universe: selected geographies: Michigan"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
" -> LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",""
"Michigan","117589.1349011774"
"Michigan","35945.13663327823"
"Michigan","39649.31837248322"
"Michigan","47167.286115317846"
" -> EDU-Preschool And Kindergarten Teachers",""
"Michigan","18442.284757866546"
" -> EDU-Elementary And Middle School Teachers",""
"Michigan","41741.32054891192"
" -> EDU-Secondary School Teachers",""
"Michigan","43100.91484773974"
" -> EDU-Special Education Teachers",""
"Michigan","40840.24439102564"
"Michigan","23241.972251834202"
" -> EDU-Archivists, Curators, And Museum Technicians",""
"Michigan","31713.53315168029"
"Michigan","37704.867729831145"
" -> EDU-Library Technicians",""
"Michigan","12779.518234165067"
"Michigan","13718.869672240802"
"Michigan","47786.530726256984"
" -> ENT-Artists And Related Workers",""
"Michigan","36931.47340942205"
"Michigan","38031.22171428571"
" -> ENT-Actors",""
"Michigan","30800"
" -> ENT-Producers And Directors",""
"Michigan","40730.205501106546"
"Michigan","36241.55221653879"
" -> ENT-Dancers And Choreographers",""
"Michigan","16239.16292974589"
"Michigan","24529.57855547282"
"Michigan","38479.89382879894"
"Michigan","17777.939035486805"
" -> ENT-News Analysts, Reporters, And Journalists",""
"Michigan","45805.534675615214"
"Michigan","44947.66680567139"
" -> ENT-Editors",""
"Michigan","31878.669536294266"
" -> ENT-Technical Writers",""
"Michigan","60057.1567436209"
" -> ENT-Writers And Authors",""
"Michigan","38280.75216246709"
"Michigan","18600.34949267193"
"Michigan","32375.080831408777"
" -> ENT-Photographers",""
"Michigan","24527.169893514038"
" -> ENT-Television, Video, And Film Camera Operators And Editors",""
"Michigan","16526.140350877195"
" -> MED-Chiropractors",""
"Michigan","113804.64"
" -> MED-Dentists",""
"Michigan","125468.67881008839"
" -> MED-Dietitians And Nutritionists",""
"Michigan","36778.4799713877"
" -> MED-Optometrists",""
"Michigan","74555.24603836531"
" -> MED-Pharmacists",""
"Michigan","71464.57026076158"
"Michigan","169839.17989434334"
" -> MED-Physician Assistants",""
"Michigan","42759.81865284974"
" -> MED-Podiatrists",""
"Michigan","93657.76081424937"
"Michigan","44433.873933197145"
" -> MED-Audiologists",""
"Michigan","65025.706214689264"
" -> MED-Occupational Therapists",""
"Michigan","45443.66268958544"
" -> MED-Physical Therapists",""
"Michigan","56256.63416033271"
" -> MED-Radiation Therapists",""
"Michigan",""
" -> MED-Recreational Therapists",""
"Michigan","21282.766990291264"
" -> MED-Respiratory Therapists",""
"Michigan","40989.101941747576"
" -> MED-Speech-Language Pathologists",""
"Michigan","44040.98522167488"
"Michigan","44052.25620012939"
" -> MED-Veterinarians",""
"Michigan","75163.95614435815"
"Michigan","65266.53696498054"
" -> MED-Clinical Laboratory Technologists And Technicians",""
"Michigan","31490.943831566805"
" -> MED-Dental Hygienists",""
"Michigan","33971.74044265594"
"Michigan","46790.64839523981"
"Michigan","33868.63771396237"
"Michigan","22037.895142751204"
" -> MED-Licensed Practical And Licensed Vocational Nurses",""
"Michigan","29673.889906497243"
"Michigan","22309.922374429225"
" -> MED-Opticians, Dispensing",""
"Michigan","21253.32264957265"
"Michigan","29914.605206999575"
"Michigan","39041.57237612173"
"Michigan","20144.325278726847"
" -> HLS-Occupational Therapy Assistants And Aides",""
"Michigan","24254.601861427094"
" -> HLS-Physical Therapist Assistants And Aides",""
"Michigan","27854.688741721853"
" -> HLS-Massage Therapists",""
"Michigan","18326.716107979828"
" -> HLS-Dental Assistants",""
"Michigan","21654.36925502562"
"Michigan","20375.857881527623"
" -> PRT-First-Line Supervisors Of Correctional Officers",""
"Michigan","49150.150651465796"
" -> PRT-First-Line Supervisors Of Police And Detectives",""
"Michigan","68802.8443960827"
" -> PRT-First-Line Supervisors Of Firefighting And Prevention Workers",""
"Michigan","73678.56173677069"
"Michigan","43740.800561797754"
" -> PRT-Firefighters",""
"Michigan","54211.724465558196"
" -> PRT-Fire Inspectors",""
"Michigan","29179.23322683706"
"Michigan","44967.19192351598"
" -> PRT-Detectives And Criminal Investigators",""
"Michigan","59389.92842535787"
" -> PRT-Fish And Game Wardens And Parking Enforcement Officers",""
"Michigan","26918.893129770993"
"Michigan","52751.099601593625"
" -> PRT-Animal Control Workers",""
"Michigan","31673.20916905444"
" -> PRT-Private Detectives And Investigators",""
"Michigan","48353.32537788385"
"Michigan","25178.163978858924"
" -> PRT-Crossing Guards And Flaggers",""
"Michigan","13479.089730807576"
"Michigan","7694.923887027286"
" -> EAT-Chefs And Head Cooks",""
"Michigan","22055.00331125828"
" -> EAT-First-Line Supervisors Of Food Preparation And Serving Workers",""
"Michigan","25688.58394096843"
" -> EAT-Cooks",""
"Michigan","9670.753899046726"
" -> EAT-Food Preparation Workers",""
"Michigan","8374.918289019914"
" -> EAT-Bartenders",""
"Michigan","14847.611632838534"
"Michigan","9913.393002115374"
"Michigan","3608.737976875384"
" -> EAT-Waiters And Waitresses",""
"Michigan","8865.914401718666"
" -> EAT-Food Servers, Nonrestaurant",""
"Michigan","10356.620404187972"
" -> EAT-Dining Room And Cafeteria Attendants And Bartender Helpers",""
"Michigan","7131.234156313886"
" -> EAT-Dishwashers",""
"Michigan","4749.250043400266"
" -> EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",""
"Michigan","5887.5678711851715"
" -> CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers",""
"Michigan","35866.085978505376"
" -> CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers",""
"Michigan","29470.793444095194"
" -> CLN-Janitors And Building Cleaners",""
"Michigan","18750.79863572844"
" -> CLN-Maids And Housekeeping Cleaners",""
"Michigan","12705.65904237845"
" -> CLN-Pest Control Workers",""
"Michigan","30192.94425087108"
"Michigan","17475.286652204795"
"Michigan","26750.894702204674"
"Michigan","24823.931182253593"
" -> PRS-Animal Trainers",""
"Michigan","69062.03495145631"
" -> PRS-Animal Caretakers",""
"Michigan","13880.430013767784"
" -> PRS-Gambling Services Workers",""
"Michigan","29881.686274509804"
"Michigan",""
" -> PRS-Ushers, Lobby Attendants, And Ticket Takers",""
"Michigan","19696.61683343143"
"Michigan","11268.930110548998"
"Michigan","27499.48347107438"
" -> PRS-Barbers",""
"Michigan","23868.032128514056"
" -> PRS-Hairdressers, Hairstylists, And Cosmetologists",""
"Michigan","17211.37280580405"
"Michigan","12457.425531914894"
" -> PRS-Baggage Porters, Bellhops, And Concierges",""
"Michigan","24373.669623059868"
" -> PRS-Tour And Travel Guides",""
"Michigan","19345.91471962617"
"Michigan","25888.340287185045"
" -> PRS-Childcare Workers",""
"Michigan","10093.127851313173"
"Michigan","14789.482021407868"
"Michigan","15740.698324022347"
" -> PRS-Residential Advisors",""
"Michigan","15027.645051194539"
"Michigan","17274.459082994777"
" -> SAL-First-Line Supervisors Of Retail Sales Workers",""
"Michigan","35108.590735184116"
" -> SAL-First-Line Supervisors Of Non-Retail Sales Workers",""
"Michigan","58357.97538863069"
" -> SAL-Cashiers",""
"Michigan","9457.14396012212"
" -> SAL-Counter And Rental Clerks",""
"Michigan","18557.115305313244"
" -> SAL-Parts Salespersons",""
"Michigan","32530.930599369087"
" -> SAL-Retail Salespersons",""
"Michigan","20234.654500128712"
" -> SAL-Advertising Sales Agents",""
"Michigan","48409.70533083311"
" -> SAL-Insurance Sales Agents",""
"Michigan","70902.53988653468"
" -> SAL-Securities, Commodities, And Financial Services Sales Agents",""
"Michigan","71886.79729081754"
" -> SAL-Travel Agents",""
"Michigan","21592.734134319162"
" -> SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",""
"Michigan","52487.21672389416"
" -> SAL-Sales Representatives, Wholesale And Manufacturing",""
"Michigan","59532.89798006833"
" -> SAL-Models, Demonstrators, And Product Promoters",""
"Michigan","13686.56148340924"
" -> SAL-Real Estate Brokers And Sales Agents",""
"Michigan","55334.89589306069"
" -> SAL-Sales Engineers",""
"Michigan","63192.05037386856"
" -> SAL-Telemarketers",""
"Michigan","14644.811611030478"
" -> SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers",""
"Michigan","10109.495833333332"
"Michigan","37989.139493079274"
" -> OFF-First-Line Supervisors Of Office And Administrative Support Workers",""
"Michigan","39649.98872285512"
" -> OFF-Switchboard Operators, Including Answering Service",""
"Michigan","23944.686159844056"
" -> OFF-Telephone Operators",""
"Michigan","20267.284610814022"
"Michigan","44395.23809523809"
" -> OFF-Bill And Account Collectors",""
"Michigan","29159.912317918257"
" -> OFF-Billing And Posting Clerks",""
"Michigan","26019.044209384323"
" -> OFF-Bookkeeping, Accounting, And Auditing Clerks",""
"Michigan","27463.069319393697"
"Michigan","19752.537313432837"
" -> OFF-Payroll And Timekeeping Clerks",""
"Michigan","30074.79924131894"
" -> OFF-Procurement Clerks",""
"Michigan","46577.28230337079"
" -> OFF-Tellers",""
"Michigan","18861.91895068654"
"Michigan","24500"
" -> OFF-Court, Municipal, And License Clerks",""
"Michigan","30608.940397350994"
" -> OFF-Credit Authorizers, Checkers, And Clerks",""
"Michigan","42797.52280701754"
" -> OFF-Customer Service Representatives",""
"Michigan","26778.52847785941"
" -> OFF-Eligibility Interviewers, Government Programs",""
"Michigan","34788.19684447784"
" -> OFF-File Clerks",""
"Michigan","14618.324886653003"
" -> OFF-Hotel, Motel, And Resort Desk Clerks",""
"Michigan","10614.801441874437"
" -> OFF-Interviewers, Except Eligibility And Loan",""
"Michigan","17311.298651984052"
" -> OFF-Library Assistants, Clerical",""
"Michigan","13664.20627284972"
" -> OFF-Loan Interviewers And Clerks",""
"Michigan","25509.371457152385"
" -> OFF-New Accounts Clerks",""
"Michigan","21120.754716981133"
" -> OFF-Correspondence Clerks And Order Clerks",""
"Michigan","28064.673099859046"
" -> OFF-Human Resources Assistants, Except Payroll And Timekeeping",""
"Michigan","28661.225577264653"
" -> OFF-Receptionists And Information Clerks",""
"Michigan","16473.824717470983"
" -> OFF-Reservation And Transportation Ticket Agents And Travel Clerks",""
"Michigan","21227.30887898526"
" -> OFF-Other Information And Records Clerks",""
"Michigan","22904.410087719298"
" -> OFF-Cargo And Freight Agents",""
"Michigan","47573.70517928287"
" -> OFF-Couriers And Messengers",""
"Michigan","35649.46474905479"
"Michigan","31729.46346300534"
" -> OFF-Meter Readers, Utilities",""
"Michigan","32293.807024626563"
" -> OFF-Postal Service Clerks",""
"Michigan","29801.82348779625"
" -> OFF-Postal Service Mail Carriers",""
"Michigan","40919.8678437957"
" -> OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators",""
"Michigan","32541.73118919992"
" -> OFF-Production, Planning, And Expediting Clerks",""
"Michigan","39001.34339948231"
" -> OFF-Shipping, Receiving, And Inventory Clerks",""
"Michigan","27253.178001182732"
"Michigan","16263.666505684414"
" -> OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping",""
"Michigan","24365.480733944954"
"Michigan","24587.901484566788"
"Michigan","34122.77645051195"
" -> OFF-Data Entry Keyers",""
"Michigan","21604.95119465519"
" -> OFF-Word Processors And Typists",""
"Michigan","22216.800074645435"
" -> OFF-Insurance Claims And Policy Processing Clerks",""
"Michigan","28415.35010528649"
" -> OFF-Mail Clerks And Mail Machine Operators, Except Postal Service",""
"Michigan","20117.42493146267"
" -> OFF-Office Clerks, General",""
"Michigan","22519.26078265411"
" -> OFF-Office Machine Operators, Except Computer",""
"Michigan","27906.962275101567"
" -> OFF-Proofreaders And Copy Markers",""
"Michigan","22437.961476725523"
" -> OFF-Statistical Assistants",""
"Michigan","48582.66277939748"
"Michigan","32128.79301745636"
"Michigan","30584.653371320037"
" -> FFF-Agricultural Inspectors",""
"Michigan","34350"
" -> FFF-Graders And Sorters, Agricultural Products",""
"Michigan","8454.658511722731"
" -> FFF-Other Agricultural Workers",""
"Michigan","12881.361482968912"
"Michigan","18916.816693944354"
" -> FFF-Forest And Conservation Workers",""
"Michigan","28446.45390070922"
" -> FFF-Logging Workers",""
"Michigan","24634.512565589615"
" -> CON-First-Line Supervisors Of Construction Trades And Extraction Workers",""
"Michigan","49645.3941493664"
" -> CON-Boilermakers",""
"Michigan","41426.851851851854"
" -> CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers",""
"Michigan","29292.62300287784"
" -> CON-Carpenters",""
"Michigan","25387.142817064116"
" -> CON-Carpet, Floor, And Tile Installers And Finishers",""
"Michigan","26087.11702761772"
" -> CON-Cement Masons, Concrete Finishers, And Terrazzo Workers",""
"Michigan","24215.325077399382"
" -> CON-Construction Laborers",""
"Michigan","20499.76510795588"
"Michigan","36909.94940978078"
"Michigan","35495.48893647395"
" -> CON-Drywall Installers, Ceiling Tile Installers, And Tapers",""
"Michigan","26601.866303436713"
"Michigan","45497.710873915945"
" -> CON-Glaziers",""
"Michigan","30308.273224043714"
" -> CON-Insulation Workers",""
"Michigan","21947.88732394366"
"Michigan","20603.101156402474"
"Michigan","12437.468354430379"
"Michigan","41947.204024539875"
" -> CON-Plasterers And Stucco Masons",""
"Michigan","24980.30431107354"
"Michigan","30849.740932642486"
"Michigan","20167.775915060072"
" -> CON-Sheet Metal Workers",""
"Michigan","39416.258530710555"
" -> CON-Structural Iron And Steel Workers",""
"Michigan","27254.788696752425"
" -> CON-Helpers, Construction Trades",""
"Michigan","38890.85799925066"
" -> CON-Construction And Building Inspectors",""
"Michigan","40399.17420484389"
" -> CON-Elevator And Escalator Installers And Repairers",""
"Michigan","71453.55119825708"
" -> CON-Fence Erectors",""
"Michigan","10882.702702702703"
" -> CON-Hazardous Materials Removal Workers",""
"Michigan","30054.310930074676"
" -> CON-Highway Maintenance Workers",""
"Michigan","35553.838347227254"
" -> CON-Rail-Track Laying And Maintenance Equipment Operators",""
"Michigan","32806.430868167205"
"Michigan","29838.377464788733"
" -> EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining",""
"Michigan","11285.353535353535"
"Michigan","33270.10380622838"
"Michigan","28821.495327102803"
"Michigan","58182.18527315914"
"Michigan","42700.673575129535"
" -> RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers",""
"Michigan","55157.75251189846"
" -> RPR-Computer, Automated Teller, And Office Machine Repairers",""
"Michigan","31158.370070113935"
" -> RPR-Radio And Telecommunications Equipment Installers And Repairers",""
"Michigan","47225.15539508402"
" -> RPR-Avionics Technicians",""
"Michigan","49554.166666666664"
" -> RPR-Electric Motor, Power Tool, And Related Repairers",""
"Michigan","28798.940955951264"
" -> RPR-Other Electrical And Electronic Equipment Mechanics, Installers, And Repairers",""
"Michigan","75599.3163172288"
"Michigan","73546.65778517902"
" -> RPR-Audiovisual Equipment Installers And Repairers",""
"Michigan","27965.273081924577"
" -> RPR-Security And Fire Alarm Systems Installers",""
"Michigan","37116.89373297003"
" -> RPR-Aircraft Mechanics And Service Technicians",""
"Michigan","44226.92344786016"
" -> RPR-Automotive Body And Related Repairers",""
"Michigan","34681.121719217896"
" -> RPR-Automotive Glass Installers And Repairers",""
"Michigan","27449.47049924357"
" -> RPR-Automotive Service Technicians And Mechanics",""
"Michigan","36649.73993946311"
" -> RPR-Bus And Truck Mechanics And Diesel Engine Specialists",""
"Michigan","34525.31642091767"
" -> RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics",""
"Michigan","35279.586300996045"
" -> RPR-Small Engine Mechanics",""
"Michigan","18893.909899229402"
" -> RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers",""
"Michigan","15920.7615593835"
" -> RPR-Control And Valve Installers And Repairers",""
"Michigan","40095.9295929593"
"Michigan","35894.7949270557"
" -> RPR-Home Appliance Repairers",""
"Michigan","31803.888118354138"
" -> RPR-Industrial And Refractory Machinery Mechanics",""
"Michigan","46288.075635081805"
" -> RPR-Maintenance And Repair Workers, General",""
"Michigan","40805.605467015346"
" -> RPR-Maintenance Workers, Machinery",""
"Michigan","30762.535626535628"
" -> RPR-Millwrights",""
"Michigan","61689.1995081792"
" -> RPR-Electrical Power-Line Installers And Repairers",""
"Michigan","59192.219520432285"
" -> RPR-Telecommunications Line Installers And Repairers",""
"Michigan","40785.92052117264"
" -> RPR-Precision Instrument And Equipment Repairers",""
"Michigan","35537.15772179628"
" -> RPR-Coin, Vending, And Amusement Machine Servicers And Repairers",""
"Michigan","25075.034997666822"
" -> RPR-Locksmiths And Safe Repairers",""
"Michigan","38049.75425330813"
"Michigan","19855.849056603773"
" -> RPR-Riggers",""
"Michigan","56371.54150197629"
" -> RPR-Helpers--Installation, Maintenance, And Repair Workers",""
"Michigan","38666.99029126213"
"Michigan","34673.19295278365"
" -> PRD-First-Line Supervisors Of Production And Operating Workers",""
"Michigan","54319.80158290463"
"Michigan","35000"
" -> PRD-Electrical, Electronics, And Electromechanical Assemblers",""
"Michigan","27271.76723967595"
" -> PRD-Engine And Other Machine Assemblers",""
"Michigan","44616.96350034006"
" -> PRD-Structural Metal Fabricators And Fitters",""
"Michigan","35097.43176376696"
" -> PRD-Other Assemblers And Fabricators",""
"Michigan","32312.130769868236"
" -> PRD-Bakers",""
"Michigan","14597.63688048449"
" -> PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers",""
"Michigan","20247.634019808207"
" -> PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders",""
"Michigan","15753.191489361701"
" -> PRD-Food Batchmakers",""
"Michigan","14400.261627906977"
" -> PRD-Food Cooking Machine Operators And Tenders",""
"Michigan","13146.361185983827"
"Michigan","37054.237638858634"
"Michigan","28596.528384279474"
"Michigan","46615.99095704597"
"Michigan","26213.473684210527"
" -> PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic",""
"Michigan","28768.48638241266"
"Michigan","42433.861171366596"
" -> PRD-Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal And Plastic",""
"Michigan","38273.28256605515"
"Michigan","30163.199268738575"
" -> PRD-Machinists",""
"Michigan","39805.270087385165"
" -> PRD-Metal Furnace Operators, Tenders, Pourers, And Casters",""
"Michigan","31511.826994780015"
"Michigan","55115.110770410116"
" -> PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic",""
"Michigan","32397.047322187587"
" -> PRD-Tool And Die Makers",""
"Michigan","55662.63684119379"
" -> PRD-Welding, Soldering, And Brazing Workers",""
"Michigan","32715.302110488163"
"Michigan","27946.47737355812"
"Michigan","43356.954887218046"
"Michigan","33976.33420822397"
"Michigan","28655.321634819964"
"Michigan","23301.123595505618"
"Michigan","33668.57871720117"
" -> PRD-Prepress Technicians And Workers",""
"Michigan","30040.11537030145"
"Michigan","26844.788871106735"
" -> PRD-Laundry And Dry-Cleaning Workers",""
"Michigan","17926.33435545198"
" -> PRD-Pressers, Textile, Garment, And Related Materials",""
"Michigan","16636.495116453792"
" -> PRD-Sewing Machine Operators",""
"Michigan","16271.494393833216"
"Michigan","74000"
"Michigan","28609.19111111111"
" -> PRD-Tailors, Dressmakers, And Sewers",""
"Michigan","21516.871463217463"
"Michigan","105000"
"Michigan","25454.83870967742"
"Michigan",""
" -> PRD-Upholsterers",""
"Michigan","19819.8046875"
"Michigan","21605.784204671858"
" -> PRD-Cabinetmakers And Bench Carpenters",""
"Michigan","15736.534216335542"
" -> PRD-Furniture Finishers",""
"Michigan","14897.14889123548"
" -> PRD-Sawing Machine Setters, Operators, And Tenders, Wood",""
"Michigan","19783.233254531126"
" -> PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing",""
"Michigan","19625.944584382873"
"Michigan","29261.073605947957"
" -> PRD-Power Plant Operators, Distributors, And Dispatchers",""
"Michigan","60561.42424242424"
" -> PRD-Stationary Engineers And Boiler Operators",""
"Michigan","53145.0177035913"
" -> PRD-Water And Wastewater Treatment Plant And System Operators",""
"Michigan","40548.44547563805"
" -> PRD-Miscellaneous Plant And System Operators",""
"Michigan","54965.02849740932"
" -> PRD-Chemical Processing Machine Setters, Operators, And Tenders",""
"Michigan","40680.9038182697"
" -> PRD-Crushing, Grinding, Polishing, Mixing, And Blending Workers",""
"Michigan","23953.142963100316"
" -> PRD-Cutting Workers",""
"Michigan","22162.337744171393"
" -> PRD-Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders",""
"Michigan","29525.887547836326"
" -> PRD-Furnace, Kiln, Oven, Drier, And Kettle Operators And Tenders",""
"Michigan","29433.739612188365"
" -> PRD-Inspectors, Testers, Sorters, Samplers, And Weighers",""
"Michigan","32417.22764499415"
" -> PRD-Jewelers And Precious Stone And Metal Workers",""
"Michigan","22859.177532597794"
" -> PRD-Dental And Ophthalmic Laboratory Technicians And Medical Appliance Technicians",""
"Michigan","38770.21454112038"
" -> PRD-Packaging And Filling Machine Operators And Tenders",""
"Michigan","19519.092933618842"
" -> PRD-Painting Workers",""
"Michigan","34148.5998176846"
" -> PRD-Photographic Process Workers And Processing Machine Operators",""
"Michigan","12374.98712998713"
" -> PRD-Adhesive Bonding Machine Operators And Tenders",""
"Michigan","45952.97410192147"
"Michigan","30493.659793814433"
" -> PRD-Etchers And Engravers",""
"Michigan","24089.96996996997"
" -> PRD-Molders, Shapers, And Casters, Except Metal And Plastic",""
"Michigan","52501.94357366771"
" -> PRD-Paper Goods Machine Setters, Operators, And Tenders",""
"Michigan","28342.23136716964"
" -> PRD-Tire Builders",""
