Source: ACS 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Michigan"
"Selected Geographies","Total person's income (signed, use ADJINC to adjust to constant dollars)"
"Michigan","71046.35509863851"
" -> ENG-Marine Engineers And Naval Architects",""
"Michigan","72451.81058495822"
" -> ENG-Materials Engineers",""
"Michigan","71570.7664516129"
" -> ENG-Mechanical Engineers",""
"Michigan","97240.89379177068"
" -> ENG-Petroleum, Mining And Geological Engineers, Including Mining Safety Engineers",""
"Michigan","78113.04347826086"
" -> ENG-Other Engineers",""
"Michigan","85342.88353990327"
" -> ENG-Architectural And Civil Drafters",""
"Michigan","59727.90157845868"
" -> ENG-Other Drafters",""
"Michigan","52625.2784019975"
" -> ENG-Electrical And Electronic Engineering Technologists And Technicians",""
"Michigan","64157.55704697986"
" -> ENG-Other Engineering Technologists And Technicians, Except Drafters",""
"Michigan","45229.47629925757"
" -> ENG-Surveying And Mapping Technicians",""
"Michigan","89769.66292134831"
" -> SCI-Agricultural And Food Scientists",""
"Michigan","51858.24922760041"
" -> SCI-Biological Scientists",""
"Michigan","43477.62008733625"
" -> SCI-Conservation Scientists And Foresters",""
"Michigan","62199.74025974026"
" -> SCI-Other Life Scientists",""
"Michigan","81142.46245583039"
" -> SCI-Astronomers And Physicists",""
"Michigan","45354.740061162076"
" -> SCI-Atmospheric And Space Scientists",""
"Michigan","67776.20396600566"
" -> SCI-Chemists And Materials Scientists",""
"Michigan","100468.98079763663"
" -> SCI-Environmental Scientists And Specialists, Including Health",""
"Michigan","63116.24291497975"
" -> SCI-Geoscientists And Hydrologists, Except Geographers",""
"Michigan","64220.66901408451"
" -> SCI-Physical Scientists, All Other",""
"Michigan","71776.0562554937"
" -> SCI-Economists",""
"Michigan","91011.89"
" -> SCI-Clinical And Counseling Psychologists",""
"Michigan","88502.40963855422"
" -> SCI-School Psychologists",""
"Michigan","63401.371204701274"
" -> SCI-Other Psychologists",""
"Michigan","56533.651226158036"
" -> SCI-Urban And Regional Planners",""
"Michigan","58557.94871794872"
" -> SCI-Other Social Scientists",""
"Michigan","81721.19062307218"
" -> SCI-Agricultural And Food Science Technicians",""
"Michigan","32530.054884742043"
" -> SCI-Biological Technicians",""
"Michigan","27247.222222222223"
" -> SCI-Chemical Technicians",""
"Michigan","64840.38397881496"
" -> SCI-Environmental Science and Geoscience Technicians, And Nuclear Technicians",""
"Michigan","47707.18232044199"
" -> SCI-Other Life, Physical, And Social Science Technicians",""
"Michigan","24797.13054924016"
" -> SCI-Occupational Health And Safety Specialists and Technicians",""
"Michigan","65515.441860465115"
" -> CMS-Substance Abuse And Behavioral Disorder Counselors",""
"Michigan","32708.300741739717"
" -> CMS-Educational, Guidance, And Career Counselors And Advisors",""
"Michigan","48224.0193174501"
" -> CMS-Marriage And Family Therapists",""
"Michigan","28980.182926829268"
" -> CMS-Mental Health Counselors",""
"Michigan","58890.18329070759"
" -> CMS-Rehabilitation Counselors",""
"Michigan","34770.37902716361"
" -> CMS-Counselors, All Other",""
"Michigan","37007.358402971215"
" -> CMS-Child, Family, And School Social Workers",""
"Michigan","56399.7022022022"
" -> CMS-Healthcare Social Workers",""
"Michigan","36923.67290579932"
" -> CMS-Mental Health And Substance Abuse Social Workers",""
"Michigan","43255"
" -> CMS-Social Workers, All Other",""
"Michigan","49318.33484162896"
" -> CMS-Probation Officers And Correctional Treatment Specialists",""
"Michigan","82623.35877862596"
" -> CMS-Social And Human Service Assistants",""
"Michigan","35145.331202468864"
" -> CMS-Other Community and Social Service Specialists",""
"Michigan","37019.02269569245"
" -> CMS-Clergy",""
"Michigan","49610.83085707627"
" -> CMS-Directors, Religious Activities And Education",""
"Michigan","49794.41288600839"
" -> CMS-Religious Workers, All Other",""
"Michigan","26068.078795927402"
" -> LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",""
"Michigan","152535.02515043976"
" -> LGL-Judicial Law Clerks",""
"Michigan","45312.37322515213"
" -> LGL-Paralegals And Legal Assistants",""
"Michigan","45818.29779203623"
" -> LGL-Title Examiners, Abstractors, and Searchers",""
"Michigan","52174.065549161875"
" -> LGL-Legal Support Workers, All Other",""
"Michigan","45072.787074437394"
" -> EDU-Postsecondary Teachers",""
"Michigan","70059.03475451737"
" -> EDU-Preschool And Kindergarten Teachers",""
"Michigan","27307.20140936219"
" -> EDU-Elementary And Middle School Teachers",""
"Michigan","48141.41343443181"
" -> EDU-Secondary School Teachers",""
"Michigan","52853.68619731982"
" -> EDU-Special Education Teachers",""
"Michigan","45814.66289243438"
" -> EDU-Tutors",""
"Michigan","22012.02717754511"
" -> EDU-Other Teachers and Instructors",""
"Michigan","36804.945188794154"
" -> EDU-Archivists, Curators, And Museum Technicians",""
"Michigan","39301.55221454693"
" -> EDU-Librarians And Media Collections Specialists",""
"Michigan","31104.856693463826"
" -> EDU-Library Technicians",""
"Michigan","15852.075471698114"
" -> EDU-Teaching Assistants",""
"Michigan","21757.31600015105"
" -> EDU-Other Educational Instruction and Library Workers",""
"Michigan","57025.12595196251"
" -> ENT-Artists And Related Workers",""
"Michigan","32413.278257055124"
" -> ENT-Commercial And Industrial Designers",""
"Michigan","46285.21989906272"
" -> ENT-Fashion Designers",""
"Michigan","36000"
" -> ENT-Floral Designers",""
"Michigan","17079.128751210068"
" -> ENT-Graphic Designers",""
"Michigan","34219.60098724804"
" -> ENT-Interior Designers",""
"Michigan","35864.62712452307"
" -> ENT-Merchandise Displayer And Windows Trimmers",""
"Michigan","20907.80487804878"
" -> ENT-Other Designers",""
"Michigan","63662.84810126582"
" -> ENT-Actors",""
"Michigan","29085.558739255015"
" -> ENT-Producers And Directors",""
"Michigan","53597.5132837407"
" -> ENT-Athletes and Sports Competitors",""
"Michigan","111193.52380952382"
" -> ENT-Coaches and Scouts",""
"Michigan","28191.433939270843"
" -> ENT-Umpires, Referees, And Other Sports Officials",""
"Michigan","26636.14441416894"
" -> ENT-Dancers And Choreographers",""
"Michigan","21375.30864197531"
" -> ENT-Music Directors and Composers",""
"Michigan","57763.824737562754"
" -> ENT-Musicians and Singers",""
"Michigan","30482.37190558434"
" -> ENT-Disc Jockeys, Except Radio",""
"Michigan","25510.679611650485"
" -> ENT-Entertainers And Performers, Sports and Related Workers, All Other",""
"Michigan","13003.007518796992"
" -> ENT-Broadcast Announcers And Radio Disc Jockeys",""
"Michigan","24715.782122905028"
" -> ENT-News Analysts, Reporters, And Journalists",""
"Michigan","52613.947743467936"
" -> ENT-Public Relations Specialists",""
"Michigan","71544.21287681429"
" -> ENT-Editors",""
"Michigan","51671.15051903114"
" -> ENT-Technical Writers",""
"Michigan","81330.67970660147"
" -> ENT-Writers And Authors",""
"Michigan","45262.08296943231"
" -> ENT-Interpreters and Translators",""
"Michigan","48727.68322147651"
" -> ENT-Court Reporters and Simultaneous Captioners",""
"Michigan","54633.7983706721"
" -> ENT-Media And Communication Workers, All Other",""
"Michigan","44900.42826552463"
" -> ENT-Other Media And Communication Equipment Workers",""
"Michigan","47930.96995708154"
" -> ENT-Photographers",""
"Michigan","23320.34693877551"
" -> ENT-Television, Video, And Film Camera Operators And Editors",""
"Michigan","40047.23311546841"
" -> MED-Chiropractors",""
"Michigan","71628.62930452397"
" -> MED-Dentists",""
"Michigan","175147.96840826244"
" -> MED-Dietitians And Nutritionists",""
"Michigan","53531.97962154294"
" -> MED-Optometrists",""
"Michigan","133384.3347639485"
" -> MED-Pharmacists",""
"Michigan","102165.84192439863"
" -> MED-Physicians",""
"Michigan","221512.81557632398"
" -> MED-Surgeons",""
"Michigan","277783.3008447043"
" -> MED-Physician Assistants",""
"Michigan","108656.79450948728"
" -> MED-Podiatrists",""
"Michigan","134588.92128279884"
" -> MED-Audiologists",""
"Michigan","75030.26315789473"
" -> MED-Occupational Therapists",""
"Michigan","62248.70903131828"
" -> MED-Physical Therapists",""
"Michigan","86222.21551805412"
" -> MED-Radiation Therapists",""
"Michigan","45710.52631578947"
" -> MED-Recreational Therapists",""
"Michigan","20752.044609665427"
" -> MED-Respiratory Therapists",""
"Michigan","50453.77865777407"
" -> MED-Speech-Language Pathologists",""
"Michigan","52766.86704493176"
" -> MED-Other Therapists",""
"Michigan","42864.012288786485"
" -> MED-Veterinarians",""
"Michigan","97832.63497453311"
" -> MED-Registered Nurses",""
"Michigan","60319.69499415999"
" -> MED-Nurse Anesthetists",""
"Michigan","152374.45875391577"
" -> MED-Nurse Practitioners, And Nurse Midwives",""
"Michigan","86248.83868052418"
" -> MED-Acupuncturists",""
"Michigan","50000"
" -> MED-Healthcare Diagnosing Or Treating Practitioners, All Other",""
"Michigan","2700"
" -> MED-Clinical Laboratory Technologists And Technicians",""
"Michigan","35748.111749740885"
" -> MED-Dental Hygienists",""
"Michigan","41776.13402548372"
" -> MED-Cardiovascular Technologists and Technicians",""
"Michigan","66565.216"
" -> MED-Diagnostic Medical Sonographers",""
"Michigan","57204.89722507708"
" -> MED-Radiologic Technologists And Technicians",""
"Michigan","58584.827067669175"
" -> MED-Magnetic Resonance Imaging Technologists",""
"Michigan","60449.39797549281"
" -> MED-Nuclear Medicine Technologists and Medical Dosimetrists",""
"Michigan","94669.28838951311"
" -> MED-Emergency Medical Technicians",""
"Michigan","28764.254800365743"
" -> MED-Paramedics",""
"Michigan","50153.19327731092"
" -> MED-Pharmacy Technicians",""
"Michigan","25664.410208750356"
" -> MED-Psychiatric Technicians",""
"Michigan","28801.059602649006"
" -> MED-Surgical Technologists",""
"Michigan","41975.23864622505"
" -> MED-Veterinary Technologists and Technicians",""
"Michigan","27095.184014450213"
" -> MED-Dietetic Technicians And Ophthalmic Medical Technicians",""
"Michigan","19551.561051004635"
" -> MED-Licensed Practical And Licensed Vocational Nurses",""
"Michigan","34203.72880404267"
" -> MED-Medical Records Specialists",""
"Michigan","44590.248318675636"
" -> MED-Opticians, Dispensing",""
"Michigan","30447.97736916549"
" -> MED-Miscellaneous Health Technologists and Technicians",""
"Michigan","54513.07050548012"
" -> MED-Other Healthcare Practitioners and Technical Occupations",""
"Michigan","59453.047453199826"
" -> HLS-Home Health Aides",""
"Michigan","19186.632339015152"
" -> HLS-Personal Care Aides",""
"Michigan","19256.324781868112"
" -> HLS-Nursing Assistants",""
"Michigan","23626.925594092325"
" -> HLS-Orderlies and Psychiatric Aides",""
"Michigan","19873.27514546966"
" -> HLS-Occupational Therapy Assistants And Aides",""
"Michigan","24639.12528647823"
" -> HLS-Physical Therapist Assistants And Aides",""
"Michigan","24066.432283637965"
" -> HLS-Massage Therapists",""
"Michigan","26310.79826881462"
" -> HLS-Dental Assistants",""
"Michigan","27335.294351630866"
" -> HLS-Medical Assistants",""
"Michigan","26195.668199625277"
" -> HLS-Medical Transcriptionists",""
"Michigan","18306.670432081333"
" -> HLS-Pharmacy Aides",""
"Michigan","21115.09900990099"
" -> HLS-Veterinary Assistants And Laboratory Animal Caretakers",""
"Michigan","21317.425083240843"
" -> HLS-Phlebotomists",""
"Michigan","27477.127206329886"
" -> HLS-Other Healthcare Support Workers",""
"Michigan","25547.593530997303"
" -> PRT-First-Line Supervisors Of Correctional Officers",""
"Michigan","55897.69319492503"
" -> PRT-First-Line Supervisors Of Police And Detectives",""
"Michigan","105059.65753424658"
" -> PRT-First-Line Supervisors Of Firefighting And Prevention Workers",""
"Michigan","86164.39509954058"
" -> PRT-Miscellaneous First-Line Supervisors, Protective Service Workers",""
"Michigan","50050.45246990452"
" -> PRT-Firefighters",""
"Michigan","65862.89022886117"
" -> PRT-Fire Inspectors",""
"Michigan","84021.12676056338"
" -> PRT-Bailiffs",""
"Michigan","80555.2677029361"
" -> PRT-Correctional Officers and Jailers",""
"Michigan","55386.8625698324"
" -> PRT-Detectives And Criminal Investigators",""
"Michigan","76378.28323156411"
" -> PRT-Fish And Game Wardens And Parking Enforcement Officers",""
"Michigan","21153.075571177505"
" -> PRT-Police Officers",""
"Michigan","68936.33410672854"
" -> PRT-Animal Control Workers",""
"Michigan","27614.772727272728"
" -> PRT-Private Detectives And Investigators",""
"Michigan","67172.41842166166"
" -> PRT-Security Guards And Gambling Surveillance Officers",""
"Michigan","36612.07934899627"
" -> PRT-Crossing Guards And Flaggers",""
"Michigan","36583.31627430911"
" -> PRT-Transportation Security Screeners",""
"Michigan","58189.11070780399"
" -> PRT-School Bus Monitors",""
"Michigan","39936.79653679654"
" -> PRT-Other Protective Service Workers",""
"Michigan","12103.112183353438"
" -> EAT-Chefs And Head Cooks",""
"Michigan","35829.11436351259"
" -> EAT-First-Line Supervisors Of Food Preparation And Serving Workers",""
"Michigan","23801.400111193478"
" -> EAT-Cooks",""
"Michigan","15615.587705213487"
" -> EAT-Food Preparation Workers",""
"Michigan","12309.51011398128"
" -> EAT-Bartenders",""
"Michigan","22290.009483809783"
" -> EAT-Fast Food And Counter Workers",""
"Michigan","9647.315616299671"
" -> EAT-Waiters And Waitresses",""
"Michigan","13536.82579493867"
" -> EAT-Food Servers, Nonrestaurant",""
"Michigan","15944.413972728666"
" -> EAT-Dining Room And Cafeteria Attendants And Bartender Helpers",""
"Michigan","10025.455752212389"
" -> EAT-Dishwashers",""
"Michigan","7528.0325583710855"
" -> EAT-Hosts And Hostesses, Restaurant, Lounge, And Coffee Shop",""
"Michigan","8362.947753468148"
" -> EAT-Food Preparation and Serving Related Workers, All Other",""
"Michigan","8940.227088402271"
" -> CLN-First-Line Supervisors Of Housekeeping And Janitorial Workers",""
"Michigan","46104.75190101817"
" -> CLN-First-Line Supervisors Of Landscaping, Lawn Service, And Groundskeeping Workers",""
"Michigan","48079.34773218143"
" -> CLN-Janitors And Building Cleaners",""
"Michigan","22190.873774802774"
" -> CLN-Maids And Housekeeping Cleaners",""
"Michigan","18671.901646648977"
" -> CLN-Pest Control Workers",""
"Michigan","32782.53968253968"
" -> CLN-Landscaping And Groundskeeping Workers",""
"Michigan","23188.470048252326"
" -> CLN-Tree Trimmers and Pruners",""
"Michigan","36621.055321707754"
" -> CLN-Other Grounds Maintenance Workers",""
"Michigan","14011.265969802555"
" -> PRS-Supervisors Of Personal Care And Service Workers",""
"Michigan","36393.08380952381"
" -> PRS-Animal Trainers",""
"Michigan","25181.027607361964"
" -> PRS-Animal Caretakers",""
"Michigan","21218.069288528735"
" -> PRS-Gambling Services Workers",""
"Michigan","36400.65577542568"
" -> PRS-Ushers, Lobby Attendants, And Ticket Takers",""
"Michigan","21110.732394366198"
" -> PRS-Other Entertainment Attendants And Related Workers",""
"Michigan","14000.318428750523"
" -> PRS-Embalmers, Crematory Operators And Funeral Attendants",""
"Michigan","36175.87570621469"
" -> PRS-Morticians, Undertakers, And Funeral Arrangers",""
"Michigan","77758.62785862786"
" -> PRS-Barbers",""
"Michigan","24112.08850931677"
" -> PRS-Hairdressers, Hairstylists, And Cosmetologists",""
"Michigan","23083.435870867466"
" -> PRS-Manicurists And Pedicurists",""
"Michigan","21847.744841139862"
" -> PRS-Skincare Specialists",""
"Michigan","20967.703862660943"
" -> PRS-Other Personal Appearance Workers",""
"Michigan","58088.45360824742"
" -> PRS-Baggage Porters, Bellhops, And Concierges",""
"Michigan","30045.521148036252"
" -> PRS-Tour And Travel Guides",""
"Michigan","17601.95229681979"
" -> PRS-Childcare Workers",""
"Michigan","13919.819377466023"
" -> PRS-Exercise Trainers And Group Fitness Instructors",""
"Michigan","21979.25082872928"
" -> PRS-Recreation Workers",""
"Michigan","17793.29876388016"
" -> PRS-Residential Advisors",""
"Michigan","11937.51932657619"
" -> PRS-Personal Care and Service Workers, All Other",""
"Michigan","12958.88701923077"
" -> SAL-First-Line Supervisors Of Retail Sales Workers",""
"Michigan","47146.10767403184"
" -> SAL-First-Line Supervisors Of Non-Retail Sales Workers",""
"Michigan","71944.3205617633"
" -> SAL-Cashiers",""
"Michigan","13645.88625780506"
" -> SAL-Counter And Rental Clerks",""
"Michigan","14668.208321539769"
" -> SAL-Parts Salespersons",""
"Michigan","34695.401402961805"
" -> SAL-Retail Salespersons",""
"Michigan","30764.291217694918"
" -> SAL-Advertising Sales Agents",""
"Michigan","74296.58621784694"
" -> SAL-Insurance Sales Agents",""
"Michigan","83378.91167906826"
" -> SAL-Securities, Commodities, And Financial Services Sales Agents",""
"Michigan","84906.48888888888"
" -> SAL-Travel Agents",""
"Michigan","40957.31598513011"
" -> SAL-Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",""
"Michigan","72432.0197524843"
" -> SAL-Sales Representatives, Wholesale And Manufacturing",""
"Michigan","75387.97430083144"
" -> SAL-Models, Demonstrators, And Product Promoters",""
"Michigan","38321.39099941555"
" -> SAL-Real Estate Brokers And Sales Agents",""
"Michigan","75260.82933991858"
" -> SAL-Sales Engineers",""
"Michigan","89973.00779925399"
" -> SAL-Telemarketers",""
"Michigan","12920.179948586117"
" -> SAL-Door-To-Door Sales Workers, News And Street Vendors, And Related Workers",""
"Michigan","25922.099962700486"
" -> SAL-Sales And Related Workers, All Other",""
"Michigan","52540.01685307186"
" -> OFF-First-Line Supervisors Of Office And Administrative Support Workers",""
"Michigan","58497.02788412091"
" -> OFF-Switchboard Operators, Including Answering Service",""
"Michigan","24637.41456166419"
" -> OFF-Telephone Operators",""
"Michigan","26128.463855421687"
" -> OFF-Communications Equipment Operators, All Other",""
"Michigan","44348.936170212764"
" -> OFF-Bill And Account Collectors",""
"Michigan","34465.84734799482"
" -> OFF-Billing And Posting Clerks",""
"Michigan","36382.91844913766"
" -> OFF-Bookkeeping, Accounting, And Auditing Clerks",""
"Michigan","40087.82947183192"
" -> OFF-Payroll And Timekeeping Clerks",""
"Michigan","35707.74791473587"
" -> OFF-Procurement Clerks",""
"Michigan","53954.93704440026"
" -> OFF-Tellers",""
"Michigan","24314.18023307535"
" -> OFF-Other Financial Clerks",""
"Michigan","77193.19475732133"
" -> OFF-Court, Municipal, And License Clerks",""
"Michigan","33896.65699080793"
" -> OFF-Credit Authorizers, Checkers, And Clerks",""
"Michigan","32109.82630272953"
" -> OFF-Customer Service Representatives",""
"Michigan","35851.79232923985"
" -> OFF-Eligibility Interviewers, Government Programs",""
"Michigan","54057.28282540587"
" -> OFF-File Clerks",""
"Michigan","25906.598103808454"
" -> OFF-Hotel, Motel, And Resort Desk Clerks",""
"Michigan","17674.699577784995"
" -> OFF-Interviewers, Except Eligibility And Loan",""
"Michigan","22484.19797979798"
" -> OFF-Library Assistants, Clerical",""
"Michigan","28508.216412114936"
" -> OFF-Loan Interviewers And Clerks",""
"Michigan","35621.04384133612"
" -> OFF-New Accounts Clerks",""
"Michigan","25442.379746835442"
" -> OFF-Correspondence Clerks And Order Clerks",""
"Michigan","30019.599459945995"
" -> OFF-Human Resources Assistants, Except Payroll And Timekeeping",""
"Michigan","35211.28818061089"
" -> OFF-Receptionists And Information Clerks",""
"Michigan","22109.359199089216"
" -> OFF-Reservation And Transportation Ticket Agents And Travel Clerks",""
"Michigan","32308.302864107252"
" -> OFF-Other Information And Records Clerks",""
"Michigan","41052.24014336918"
" -> OFF-Cargo And Freight Agents",""
"Michigan","39802.821869488536"
" -> OFF-Couriers And Messengers",""
"Michigan","31067.70886409558"
" -> OFF-Public Safety Telecommunicators",""
"Michigan","40496.13231552163"
" -> OFF-Dispatchers, Except Police, Fire, And Ambulance",""
"Michigan","25089.873723305478"
" -> OFF-Meter Readers, Utilities",""
"Michigan","48316.955017301036"
" -> OFF-Postal Service Clerks",""
"Michigan","48985.227440011775"
" -> OFF-Postal Service Mail Carriers",""
"Michigan","51767.92477302205"
" -> OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators",""
"Michigan","68384.6754425783"
" -> OFF-Production, Planning, And Expediting Clerks",""
"Michigan","49639.49326145553"
" -> OFF-Shipping, Receiving, And Inventory Clerks",""
"Michigan","34500.50575760086"
" -> OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping",""
"Michigan","37216.54390934844"
" -> OFF-Executive Secretaries And Executive Administrative Assistants",""
"Michigan","54782.313332518635"
" -> OFF-Legal Secretaries and Administrative Assistants",""
"Michigan","56079.472049689444"
" -> OFF-Medical Secretaries and Administrative Assistants",""
"Michigan","30631.514261744967"
" -> OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive",""
"Michigan","33104.04811661104"
" -> OFF-Data Entry Keyers",""
"Michigan","23293.175505050505"
" -> OFF-Word Processors And Typists",""
"Michigan","26407.272972972973"
" -> OFF-Insurance Claims And Policy Processing Clerks",""
"Michigan","43384.44618089471"
" -> OFF-Mail Clerks And Mail Machine Operators, Except Postal Service",""
"Michigan","22741.051738761664"
" -> OFF-Office Clerks, General",""
"Michigan","29378.74022703353"
" -> OFF-Office Machine Operators, Except Computer",""
"Michigan","20342.57790368272"
" -> OFF-Proofreaders And Copy Markers",""
"Michigan","15495.882352941177"
" -> OFF-Statistical Assistants",""
"Michigan","64948.37511606314"
" -> OFF-Other Office And Administrative Support Workers",""
"Michigan","44149.28722689944"
" -> FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers",""
"Michigan","41990.59829059829"
" -> FFF-Agricultural Inspectors",""
"Michigan","36384.03908794788"
" -> FFF-Graders And Sorters, Agricultural Products",""
"Michigan","22603.833693304536"
" -> FFF-Other Agricultural Workers",""
"Michigan","24062.398086249836"
" -> FFF-Fishing And Hunting Workers",""
"Michigan","32136.875"
" -> FFF-Forest And Conservation Workers",""
"Michigan","22407.206790123455"
" -> FFF-Logging Workers",""
"Michigan","35862.4022589053"
